Response,Type
0.219,Source
0.209,Source
0.105,Source
0.228,Source
0.117,Source
0.176,Source
0.246,Source
0.209,Source
0.254,Source
0.102,Source
0.109,Source
0.281,Source
0.135,Source
0.238,Source
0.168,Source
0.277,Source
0.175,Source
0.175,Source
0.147,Source
0.197,Source
0.18,Source
0.237,Source
0.177,Source
0.175,Source
0.194,Source
0.191,Source
0.162,Source
0.217,Source
0.119,Source
0.166,Source
0.221,Source
0.142,Source
0.085,Source
0.136,Source
0.217,Source
0.09,Source
0.202,Source
0.165,Source
0.18,Source
0.216,Source
0.164,Source
0.207,Source
0.114,Source
0.213,Source
0.205,Source
0.267,Source
0.084,Source
0.125,Source
0.217,Source
0.186,Source
0.215,Source
0.296,Source
0.264,Source
0.129,Source
0.14,Source
0.215,Source
0.238,Source
0.208,Source
0.247,Source
0.164,Source
0.167,Source
0.149,Source
0.131,Source
0.174,Source
0.168,Source
0.123,Source
0.168,Source
0.205,Source
0.147,Source
0.161,Source
0.179,Source
0.071,Source
0.184,Source
0.112,Source
0.253,Source
0.292,Source
0.183,Source
0.147,Source
0.204,Source
0.138,Source
0.206,Source
0.265,Source
0.186,Source
0.156,Source
0.278,Source
0.154,Source
0.154,Source
0.174,Source
0.176,Source
0.25,Source
0.232,Source
0.182,Source
0.137,Source
0.186,Source
0.149,Source
0.229,Source
0.245,Source
0.159,Source
0.177,Source
0.266,Source
0.13,MR0
0.127,MR0
0.13,MR0
0.117,MR0
0.118,MR0
0,MR0
0.117,MR0
0.118,MR0
0.107,MR0
0.123,MR0
0.148,MR0
0.117,MR0
0.123,MR0
0.001,MR0
0.116,MR0
0.124,MR0
0.12,MR0
0.108,MR0
0,MR0
0.132,MR0
0.125,MR0
0.136,MR0
0.126,MR0
0.118,MR0
0.12,MR0
0.133,MR0
0.139,MR0
0.131,MR0
0.12,MR0
0.133,MR0
0.105,MR0
0.115,MR0
0.13,MR0
0.121,MR0
0.115,MR0
0.123,MR0
0.126,MR0
0.134,MR0
0.135,MR0
0.102,MR0
0.135,MR0
0.116,MR0
0.119,MR0
0.117,MR0
0.14,MR0
0.145,MR0
0.113,MR0
0,MR0
0.123,MR0
0.134,MR0
0.143,MR0
0.119,MR0
0.12,MR0
0.135,MR0
0.123,MR0
0.116,MR0
0.132,MR0
0.121,MR0
0.132,MR0
0.136,MR0
0.134,MR0
0.123,MR0
0.122,MR0
0.145,MR0
0.124,MR0
0,MR0
0.148,MR0
0.129,MR0
0.131,MR0
0.131,MR0
0.124,MR0
0.127,MR0
0.146,MR0
0,MR0
0.147,MR0
0.137,MR0
0.129,MR0
0.113,MR0
0.136,MR0
0.119,MR0
0.114,MR0
0.133,MR0
0.128,MR0
0.143,MR0
0.128,MR0
0.14,MR0
0.134,MR0
0.132,MR0
0.136,MR0
0.13,MR0
0.116,MR0
0.15,MR0
0.12,MR0
0.13,MR0
0.134,MR0
0.109,MR0
0,MR0
0.125,MR0
0.117,MR0
0.111,MR0
0.243,MR12,
0.153,MR12,
0.178,MR12,
0.22,MR12,
0.165,MR12,
0.279,MR12,
0.206,MR12,
0.198,MR12,
0.146,MR12,
0.189,MR12,
0.134,MR12,
0.155,MR12,
0.159,MR12,
0.198,MR12,
0.166,MR12,
0.184,MR12,
0.239,MR12,
0.196,MR12,
0.199,MR12,
0.096,MR12,
0.18,MR12,
0.231,MR12,
0.177,MR12,
0.184,MR12,
0.251,MR12,
0.155,MR12,
0.245,MR12,
0.168,MR12,
0.136,MR12,
0.198,MR12,
0.168,MR12,
0.231,MR12,
0.269,MR12,
0.19,MR12,
0.185,MR12,
0.213,MR12,
0.093,MR12,
0.16,MR12,
0.164,MR12,
0.151,MR12,
0.237,MR12,
0.248,MR12,
0.181,MR12,
0.179,MR12,
0.273,MR12,
0.149,MR12,
0.219,MR12,
0.175,MR12,
0.11,MR12,
0.211,MR12,
0.254,MR12,
0.095,MR12,
0.153,MR12,
0.241,MR12,
0.218,MR12,
0.154,MR12,
0.183,MR12,
0.149,MR12,
0.186,MR12,
0.294,MR12,
0.189,MR12,
0.235,MR12,
0.228,MR12,
0.231,MR12,
0.146,MR12,
0.21,MR12,
0.184,MR12,
0.171,MR12,
0.269,MR12,
0.174,MR12,
0.218,MR12,
0.115,MR12,
0.183,MR12,
0.197,MR12,
0.252,MR12,
0.262,MR12,
0.121,MR12,
0.207,MR12,
0.195,MR12,
0.13,MR12,
0.229,MR12,
0.197,MR12,
0.144,MR12,
0.279,MR12,
0.183,MR12,
0.167,MR12,
0.148,MR12,
0.195,MR12,
0.218,MR12,
0.132,MR12,
0.179,MR12,
0.246,MR12,
0.208,MR12,
0.159,MR12,
0.227,MR12,
0.115,MR12,
0.159,MR12,
0.202,MR12,
0.105,MR12,
0.22,MR12,
0.274,MR21,
0.205,MR21,
0.237,MR21,
0.223,MR21,
0.191,MR21,
0.14,MR21,
0.18,MR21,
0.13,MR21,
0.193,MR21,
0.186,MR21,
0.215,MR21,
0.273,MR21,
0.202,MR21,
0.198,MR21,
0.19,MR21,
0.242,MR21,
0.137,MR21,
0.125,MR21,
0.122,MR21,
0.222,MR21,
0.095,MR21,
0.281,MR21,
0.168,MR21,
0.216,MR21,
0.236,MR21,
0.263,MR21,
0.161,MR21,
0.168,MR21,
0.168,MR21,
0.28,MR21,
0.126,MR21,
0.128,MR21,
0.205,MR21,
0.157,MR21,
0.135,MR21,
0.2,MR21,
0.239,MR21,
0.192,MR21,
0.214,MR21,
0.13,MR21,
0.207,MR21,
0.12,MR21,
0.193,MR21,
0.225,MR21,
0.186,MR21,
0.22,MR21,
0.147,MR21,
0.159,MR21,
0.068,MR21,
0.141,MR21,
0.082,MR21,
0.163,MR21,
0.182,MR21,
0.15,MR21,
0.167,MR21,
0.156,MR21,
0.231,MR21,
0.228,MR21,
0.186,MR21,
0.153,MR21,
0.18,MR21,
0.151,MR21,
0.176,MR21,
0.244,MR21,
0.139,MR21,
0.266,MR21,
0.243,MR21,
0.258,MR21,
0.172,MR21,
0.176,MR21,
0.143,MR21,
0.242,MR21,
0.136,MR21,
0.163,MR21,
0.17,MR21,
0.198,MR21,
0.244,MR21,
0.14,MR21,
0.184,MR21,
0.22,MR21,
0.09,MR21,
0.179,MR21,
